tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26660,1650215271.557,"19:07:51,557000",3048,3834,1354,5.379,0.074,-0.016,47,41,954,"{'x': 18.1875, 'y': -0.375, 'z': 56.8125}","{'x': 14.375, 'y': 8.1875, 'z': -42}",2
26651,1650215271.633,"19:07:51,633000",3128,4973,894,0.016,0.063,-0.003,55,1,951,"{'x': -0.125, 'y': -0.0625, 'z': 0}","{'x': 0.75, 'y': 7.1875, 'z': -16.375}",2
26651,1650215271.822,"19:07:51,822000",3129,4973,900,0.016,0.063,-0.003,55,2,955,"{'x': -0.0625, 'y': 0, 'z': 0.0625}","{'x': 0.75, 'y': 6.375, 'z': -15.5625}",2
26660,1650215271.893,"19:07:51,893000",3131,3906,1351,5.19,0.076,-0.024,36,-193,1254,"{'x': -35.75, 'y': -13.125, 'z': 17.375}","{'x': 15.1875, 'y': 4.375, 'z': -41.6875}",2
26651,1650215271.973,"19:07:51,973000",3120,4971,882,0.016,0.063,-0.003,57,1,954,"{'x': -0.1875, 'y': 0.1875, 'z': -0.0625}","{'x': 1.5625, 'y': 7.5625, 'z': -16.375}",2
26660,1650215272.047,"19:07:52,047000",3216,3985,1350,5.132,0.072,-0.031,70,49,941,"{'x': -21.4375, 'y': -7.9375, 'z': 27.5}","{'x': 14.75, 'y': 4, 'z': -41.6875}",2
26651,1650215272.131,"19:07:52,131000",3117,4973,863,0.016,0.063,-0.003,56,0,953,"{'x': 0.25, 'y': -0.25, 'z': 0}","{'x': 0.75, 'y': 6.75, 'z': -16}",2
26660,1650215272.218,"19:07:52,218000",3284,4073,1308,5.076,0.067,-0.035,1,38,1029,"{'x': -5.5, 'y': 1.5625, 'z': 27.1875}","{'x': 15.875, 'y': 2.0625, 'z': -41.5625}",2
26651,1650215272.304,"19:07:52,304000",3119,4973,887,0.016,0.063,-0.003,55,1,954,"{'x': -0.125, 'y': -0.0625, 'z': 0}","{'x': 0.75, 'y': 7.1875, 'z': -14.375}",2
26651,1650215272.474,"19:07:52,474000",3118,4973,877,0.016,0.063,-0.003,57,2,954,"{'x': 0.0625, 'y': 0.0625, 'z': 0}","{'x': 1.1875, 'y': 6.75, 'z': -13.875}",2
